município,uf,população estimada
Vargem Grande do Sul,SP,41.226
Vargem Grande Paulista,SP,52.103
Várzea Paulista,SP,119.576
Vera Cruz,SP,10.294
Vinhedo,SP,79.235
Viradouro,SP,17.681
Vista Alegre do Alto,SP,8.327
Vitória Brasil,SP,1.826
Votorantim,SP,132.849
Votuporanga,SP,100.159
Zacarias,SP,2.761
Chavantes,SP,12.411
Estiva Gerbi,SP,11.566
Abatiá,PR,7.271
Adrianópolis,PR,6.327
Agudos do Sul,PR,10.646
Almirante Tamandaré,PR,124.788
Altamira do Paraná,PR,3.543
Altônia,PR,18.750
Alto Paraná,PR,14.138
Alto Piquiri,PR,9.802
Alvorada do Sul,PR,10.478
Amaporã,PR,4.736
Ampére,PR,20.199
Anahy,PR,2.965
Andirá,PR,20.044
Ângulo,PR,3.332
Antonina,PR,18.223
Antônio Olinto,PR,7.071
Apucarana,PR,134.306
Arapongas,PR,123.863
Arapoti,PR,26.310
Arapuã,PR,3.573
Araruna,PR,14.824
Araucária,PR,160.038
Ariranha do Ivaí,PR,2.351
Assaí,PR,13.643
Assis Chateaubriand,PR,38.105
Astorga,PR,26.145
Atalaia,PR,4.045
Balsa Nova,PR,13.871
Bandeirantes,PR,31.807
Barbosa Ferraz,PR,10.692
Barracão,PR,9.900
Barra do Jacaré,PR,2.866
Bela Vista da Caroba,PR,4.100
Bela Vista do Paraíso,PR,14.998
Bituruna,PR,15.689
Boa Esperança,PR,4.622
Boa Esperança do Iguaçu,PR,2.448
Boa Ventura de São Roque,PR,6.244
Boa Vista da Aparecida,PR,8.034
Bocaiúva do Sul,PR,13.804
Bom Jesus do Sul,PR,4.061
Bom Sucesso,PR,6.677
Bom Sucesso do Sul,PR,3.234
Borrazópolis,PR,7.824
Braganey,PR,4.802
Brasilândia do Sul,PR,3.828
Cafeara,PR,2.655
Cafelândia,PR,19.844
Cafezal do Sul,PR,4.561
Califórnia,PR,8.921
Cambará,PR,23.430
Cambé,PR,111.009
Cambira,PR,9.899
Campina da Lagoa,PR,15.979
Campina do Simão,PR,3.973
Campina Grande do Sul,PR,49.971
Campo Bonito,PR,4.032
Campo do Tenente,PR,7.666
Campo Largo,PR,142.695
Campo Magro,PR,31.555
Campo Mourão,PR,103.340
Cândido de Abreu,PR,15.255
Candói,PR,15.174
Cantagalo,PR,10.799
Capanema,PR,21.022
Capitão Leônidas Marques,PR,14.796
Carambeí,PR,24.159
Carlópolis,PR,17.567
Cascavel,PR,364.104
Castro,PR,75.291
Catanduvas,PR,10.627
Centenário do Sul,PR,10.936
Cerro Azul,PR,16.240
Céu Azul,PR,11.251
Chopinzinho,PR,21.559
Cianorte,PR,82.359
Cidade Gaúcha,PR,11.684
Clevelândia,PR,14.975
Colombo,PR,240.720
Colorado,PR,23.278
Congonhinhas,PR,8.442
Conselheiro Mairinck,PR,3.486
Contenda,PR,19.827
Corbélia,PR,17.862
Cornélio Procópio,PR,45.830
Coronel Domingos Soares,PR,5.516
Coronel Vivida,PR,23.859
Corumbataí do Sul,PR,3.780
Cruzeiro do Iguaçu,PR,4.171
Cruzeiro do Oeste,PR,24.622
Cruzeiro do Sul,PR,4.547
Cruz Machado,PR,15.910
Cruzmaltina,PR,2.896
Curitiba,PR,1.829.225
Curiúva,PR,13.802
Diamante do Norte,PR,5.164
Diamante do Sul,PR,3.170
Diamante D'Oeste,PR,4.557
Dois Vizinhos,PR,47.014
Douradina,PR,9.525
Doutor Camargo,PR,6.484
Enéas Marques,PR,6.070
Engenheiro Beltrão,PR,12.431
Esperança Nova,PR,1.858
Entre Rios do Oeste,PR,4.729
Espigão Alto do Iguaçu,PR,4.881
Farol,PR,3.023
Faxinal,PR,16.618
Fazenda Rio Grande,PR,161.506
Fênix,PR,4.512
Fernandes Pinheiro,PR,6.387
Figueira,PR,8.144
Floraí,PR,4.825
Flor da Serra do Sul,PR,4.367
Floresta,PR,11.226
Florestópolis,PR,11.639
Flórida,PR,2.704
Formosa do Oeste,PR,7.756
Foz do Iguaçu,PR,295.500
Francisco Alves,PR,8.464
Francisco Beltrão,PR,101.302
Foz do Jordão,PR,4.925
General Carneiro,PR,10.861
Godoy Moreira,PR,2.970
Goioerê,PR,28.970
Goioxim,PR,6.531
Grandes Rios,PR,5.586
Guaíra,PR,32.966
Guairaçá,PR,6.733
Guamiranga,PR,7.961
Guapirama,PR,4.792
Guaporema,PR,2.217
Guaraci,PR,4.762
Guaraniaçu,PR,13.814
Guarapuava,PR,188.710
Guaraqueçaba,PR,7.474
Guaratuba,PR,44.323
Honório Serpa,PR,4.872
Ibaiti,PR,29.440
Ibema,PR,6.327
Ibiporã,PR,53.054
Icaraíma,PR,9.139
Iguaraçu,PR,5.599
Iguatu,PR,2.162
Imbaú,PR,14.815
Imbituva,PR,30.757
Inácio Martins,PR,9.633
Inajá,PR,2.510
Indianópolis,PR,4.531
Ipiranga,PR,14.338
Iporã,PR,16.062
Iracema do Oeste,PR,2.344
Irati,PR,60.796
Iretama,PR,10.843
Itaguajé,PR,4.532
Itaipulândia,PR,11.984
Itambaracá,PR,5.874
Itambé,PR,6.215
Itapejara d'Oeste,PR,12.766
Itaperuçu,PR,32.890
Itaúna do Sul,PR,3.620
Ivaí,PR,13.473
Ivaiporã,PR,33.529
Ivaté,PR,6.833
Ivatuba,PR,2.705
Jaboti,PR,5.576
Jacarezinho,PR,41.400
Jaguapitã,PR,15.719
Jaguariaíva,PR,36.231
Jandaia do Sul,PR,21.851
Janiópolis,PR,5.835
Japira,PR,5.060
Japurá,PR,9.354
Jardim Alegre,PR,12.130
Jardim Olinda,PR,1.353
Jataizinho,PR,11.971
Jesuítas,PR,10.860
Joaquim Távora,PR,12.280
Jundiaí do Sul,PR,3.366
Juranda,PR,7.898
Jussara,PR,6.795
Kaloré,PR,4.657
Lapa,PR,45.857
Laranjal,PR,5.575
Laranjeiras do Sul,PR,33.103
Leópolis,PR,3.751
Lidianópolis,PR,3.989
Lindoeste,PR,5.226
Loanda,PR,23.813
Lobato,PR,4.693
Londrina,PR,577.318
Luiziana,PR,6.696
Lunardelli,PR,4.902
Lupionópolis,PR,4.911
Mallet,PR,13.655
Mamborê,PR,13.572
Mandaguaçu,PR,33.752
Mandaguari,PR,38.050
Mandirituba,PR,28.761
Manfrinópolis,PR,2.761
Mangueirinha,PR,16.764
Manoel Ribas,PR,14.576
Marechal Cândido Rondon,PR,58.140
Maria Helena,PR,5.935
Marialva,PR,44.098
Marilândia do Sul,PR,8.774
Marilena,PR,7.409
Mariluz,PR,9.934
Maringá,PR,425.983
Mariópolis,PR,6.475
Maripá,PR,6.767
Marmeleiro,PR,16.386
Marquinho,PR,4.521
Marumbi,PR,4.778
Matelândia,PR,19.022
Matinhos,PR,41.416
Mato Rico,PR,3.237
Mauá da Serra,PR,9.628
Medianeira,PR,57.120
Mercedes,PR,6.136
Mirador,PR,2.258
Miraselva,PR,2.008
Missal,PR,11.301
Moreira Sales,PR,11.137
Morretes,PR,18.908
Munhoz de Melo,PR,4.045
Nossa Senhora das Graças,PR,3.685
Nova Aliança do Ivaí,PR,1.327
Nova América da Colina,PR,3.299
Nova Aurora,PR,14.219
Nova Cantu,PR,6.799
Nova Esperança,PR,27.142
Nova Esperança do Sudoeste,PR,5.744
Nova Fátima,PR,7.201
Nova Laranjeiras,PR,12.287
Nova Londrina,PR,13.085
Nova Olímpia,PR,5.960
Nova Santa Bárbara,PR,4.280
Nova Santa Rosa,PR,8.535
Nova Prata do Iguaçu,PR,13.196
Nova Tebas,PR,6.870
Novo Itacolomi,PR,3.210
Ortigueira,PR,24.627
Ourizona,PR,3.206
Ouro Verde do Oeste,PR,7.031
Paiçandu,PR,48.207
Palmas,PR,49.891
Palmeira,PR,34.806
Palmital,PR,12.967
Palotina,PR,36.623
Paraíso do Norte,PR,13.634
Paranacity,PR,9.597
Paranaguá,PR,149.819
Paranapoema,PR,2.378
Paranavaí,PR,95.525
Pato Bragado,PR,5.939
Pato Branco,PR,96.602
Paula Freitas,PR,5.778
Paulo Frontin,PR,6.369
Peabiru,PR,13.496
Perobal,PR,7.496
Pérola,PR,12.275
Pérola d'Oeste,PR,6.235
Piên,PR,14.179
Pinhais,PR,131.199
Pinhalão,PR,6.707
Pinhal de São Bento,PR,2.819
Pinhão,PR,30.472
Piraí do Sul,PR,24.000
Piraquara,PR,124.934
Pitanga,PR,34.513
Pitangueiras,PR,3.121
Planaltina do Paraná,PR,4.123
Planalto,PR,14.663
Ponta Grossa,PR,372.562
Pontal do Paraná,PR,32.426
Porecatu,PR,11.438
Porto Amazonas,PR,4.099
Porto Barreiro,PR,3.078
Porto Rico,PR,3.316
Porto Vitória,PR,3.549
Prado Ferreira,PR,3.799
Pranchita,PR,5.833
Presidente Castelo Branco,PR,4.336
Primeiro de Maio,PR,10.121
Prudentópolis,PR,50.428
Quarto Centenário,PR,4.170
Quatiguá,PR,8.357
Quatro Barras,PR,25.109
Quatro Pontes,PR,4.636
Quedas do Iguaçu,PR,31.405
Querência do Norte,PR,10.693
Quinta do Sol,PR,5.060
Quitandinha,PR,18.823
Ramilândia,PR,4.293
Rancho Alegre,PR,3.501
Rancho Alegre D'Oeste,PR,2.638
Realeza,PR,19.903
Rebouças,PR,14.754
Renascença,PR,6.946
Reserva,PR,24.851
Reserva do Iguaçu,PR,6.543
Ribeirão Claro,PR,12.770
Ribeirão do Pinhal,PR,13.180
Rio Azul,PR,14.214
Rio Bom,PR,3.223
Rio Bonito do Iguaçu,PR,14.234
Rio Branco do Ivaí,PR,3.850
Rio Branco do Sul,PR,39.307
Rio Negro,PR,31.992
Rolândia,PR,74.935
Roncador,PR,11.371
Rondon,PR,9.240
Rosário do Ivaí,PR,5.491
Sabáudia,PR,9.320
Salgado Filho,PR,4.097
Salto do Itararé,PR,5.267
Salto do Lontra,PR,15.636
Santa Amélia,PR,3.386
Santa Cecília do Pavão,PR,3.375
Santa Cruz de Monte Castelo,PR,8.806
Santa Fé,PR,11.669
Santa Helena,PR,26.341
Santa Inês,PR,1.760
Santa Isabel do Ivaí,PR,9.059
Santa Izabel do Oeste,PR,14.385
Santa Lúcia,PR,3.657
Santa Maria do Oeste,PR,9.985
Santa Mariana,PR,11.034
Santa Mônica,PR,3.373
Santana do Itararé,PR,5.628
Santa Tereza do Oeste,PR,13.749
Santa Terezinha de Itaipu,PR,25.055
Santo Antônio da Platina,PR,45.534
Santo Antônio do Caiuá,PR,2.496
Santo Antônio do Paraíso,PR,2.116
Santo Antônio do Sudoeste,PR,24.644
Santo Inácio,PR,6.397
São Carlos do Ivaí,PR,6.712
São Jerônimo da Serra,PR,10.913
São João,PR,12.230
São João do Caiuá,PR,5.620
São João do Ivaí,PR,10.700
São João do Triunfo,PR,13.923
São Jorge d'Oeste,PR,9.550
São Jorge do Ivaí,PR,5.193
São Jorge do Patrocínio,PR,6.659
São José da Boa Vista,PR,6.060
São José das Palmeiras,PR,4.030
São José dos Pinhais,PR,345.644
São Manoel do Paraná,PR,2.173
São Mateus do Sul,PR,43.413
São Miguel do Iguaçu,PR,30.198
São Pedro do Iguaçu,PR,5.769
São Pedro do Ivaí,PR,8.611
São Pedro do Paraná,PR,2.722
São Sebastião da Amoreira,PR,8.100
São Tomé,PR,5.290
Sapopema,PR,6.784
Sarandi,PR,125.785
Saudade do Iguaçu,PR,6.342
Sengés,PR,17.344
Serranópolis do Iguaçu,PR,5.138
Sertaneja,PR,5.667
Sertanópolis,PR,16.183
Siqueira Campos,PR,23.712
Sulina,PR,3.495
Tamarana,PR,10.645
Tamboara,PR,4.979
Tapejara,PR,16.255
Tapira,PR,5.813
Teixeira Soares,PR,9.581
Telêmaco Borba,PR,77.182
Terra Boa,PR,18.048
Terra Rica,PR,14.989
Terra Roxa,PR,18.548
Tibagi,PR,20.304
Tijucas do Sul,PR,18.279
Toledo,PR,158.620
Tomazina,PR,8.495
Três Barras do Paraná,PR,11.197
Tunas do Paraná,PR,6.302
Tuneiras do Oeste,PR,8.095
Tupãssi,PR,8.204
Turvo,PR,14.443
Ubiratã,PR,25.517
Umuarama,PR,121.972
União da Vitória,PR,56.397
Uniflor,PR,2.121
Uraí,PR,10.407
Wenceslau Braz,PR,19.430
Ventania,PR,9.779
Vera Cruz do Oeste,PR,8.227
Verê,PR,8.051
Alto Paraíso,PR,3.077
Doutor Ulysses,PR,5.773
Virmond,PR,3.842
Vitorino,PR,10.280
Xambrê,PR,5.851
Abdon Batista,SC,2.633
Abelardo Luz,SC,17.736
Agrolândia,SC,11.491
Agronômica,SC,6.394
Água Doce,SC,6.625
Águas de Chapecó,SC,6.128
Águas Frias,SC,2.963
Águas Mornas,SC,7.082
Alfredo Wagner,SC,10.862
Alto Bela Vista,SC,1.860
Anchieta,SC,5.984
Angelina,SC,5.472
Anita Garibaldi,SC,8.367
Anitápolis,SC,3.726
Antônio Carlos,SC,12.118
Apiúna,SC,10.020
Arabutã,SC,4.487
Araquari,SC,50.178
Araranguá,SC,75.597
Armazém,SC,9.188
Arroio Trinta,SC,3.628
Arvoredo,SC,2.600
Ascurra,SC,8.635
Atalanta,SC,3.270
Aurora,SC,7.127
Balneário Arroio do Silva,SC,17.215
Balneário Camboriú,SC,148.758
Balneário Barra do Sul,SC,16.360
Balneário Gaivota,SC,17.306
Bandeirante,SC,3.243
Barra Bonita,SC,1.662
Barra Velha,SC,50.730
Bela Vista do Toldo,SC,5.950
Belmonte,SC,2.709
Benedito Novo,SC,10.738
Biguaçu,SC,82.028
Blumenau,SC,380.597
Bocaina do Sul,SC,3.618
Bombinhas,SC,27.732
Bom Jardim da Serra,SC,4.028
Bom Jesus,SC,2.872
Bom Jesus do Oeste,SC,2.234
Bom Retiro,SC,8.468
Botuverá,SC,5.623
Braço do Norte,SC,35.534
Braço do Trombudo,SC,4.203
Brunópolis,SC,2.466
Brusque,SC,151.949
Caçador,SC,75.998
Caibi,SC,6.431
Calmon,SC,3.513
Camboriú,SC,113.525
Capão Alto,SC,2.647
Campo Alegre,SC,12.815
Campo Belo do Sul,SC,7.342
Campo Erê,SC,9.838
Campos Novos,SC,38.656
Canelinha,SC,13.413
Canoinhas,SC,56.721
Capinzal,SC,24.176
Capivari de Baixo,SC,24.799
Catanduvas,SC,10.938
Caxambu do Sul,SC,4.732
Celso Ramos,SC,2.860
Cerro Negro,SC,3.326
Chapadão do Lageado,SC,3.036
Chapecó,SC,275.959
Cocal do Sul,SC,17.912
Concórdia,SC,85.982
Cordilheira Alta,SC,5.099
Coronel Freitas,SC,10.583
Coronel Martins,SC,2.028
Corupá,SC,15.781
Correia Pinto,SC,16.163
Criciúma,SC,225.281
Cunha Porã,SC,11.208
Cunhataí,SC,2.018
Curitibanos,SC,41.512
Descanso,SC,8.660
Dionísio Cerqueira,SC,15.294
Dona Emma,SC,4.388
Doutor Pedrinho,SC,3.719
Entre Rios,SC,3.525
Ermo,SC,2.349
Erval Velho,SC,5.081
Faxinal dos Guedes,SC,11.486
Flor do Sertão,SC,1.850
Florianópolis,SC,576.361
Formosa do Sul,SC,2.743
Forquilhinha,SC,33.929
Fraiburgo,SC,34.148
Frei Rogério,SC,2.442
Galvão,SC,3.200
Garopaba,SC,32.962
Garuva,SC,19.554
Gaspar,SC,76.982
Governador Celso Ramos,SC,17.920
Grão-Pará,SC,6.397
Gravatal,SC,12.989
Guabiruba,SC,26.082
Guaraciaba,SC,11.040
Guaramirim,SC,49.941
Guarujá do Sul,SC,4.899
Guatambú,SC,9.267
Herval d'Oeste,SC,22.173
Ibiam,SC,2.055
Ibicaré,SC,3.304
Ibirama,SC,20.663
Içara,SC,62.455
Ilhota,SC,18.197
Imaruí,SC,12.127
Imbituba,SC,56.107
Imbuia,SC,6.139
Indaial,SC,76.333
Iomerê,SC,2.953
Ipira,SC,4.635
Iporã do Oeste,SC,9.672
Ipuaçu,SC,8.046
Ipumirim,SC,8.065
Iraceminha,SC,4.005
Irani,SC,10.497
Irati,SC,2.100
Irineópolis,SC,10.437
Itá,SC,7.310
Itaiópolis,SC,22.741
Itajaí,SC,287.289
Itapema,SC,83.330
Itapiranga,SC,17.149
Itapoá,SC,34.546
Ituporanga,SC,28.042
Jaborá,SC,4.435
Jacinto Machado,SC,10.813
Jaguaruna,SC,21.284
Jaraguá do Sul,SC,195.753
Jardinópolis,SC,1.808
Joaçaba,SC,31.509
Joinville,SC,654.888
José Boiteux,SC,6.307
Jupiá,SC,2.675
Lacerdópolis,SC,2.296
Lages,SC,171.609
Laguna,SC,43.992
Lajeado Grande,SC,1.771
Laurentino,SC,8.427
Lauro Müller,SC,14.622
Lebon Régis,SC,11.605
Leoberto Leal,SC,3.381
Lindóia do Sul,SC,4.611
Lontras,SC,13.586
Luiz Alves,SC,12.126
Luzerna,SC,5.931
Macieira,SC,1.800
Mafra,SC,57.023
Major Gercino,SC,3.258
Major Vieira,SC,7.545
Maracajá,SC,8.213
Maravilha,SC,30.155
Marema,SC,2.219
Massaranduba,SC,17.897
Matos Costa,SC,2.795
Meleiro,SC,7.127
Mirim Doce,SC,2.554
Modelo,SC,4.156
Mondaí,SC,10.216
Monte Carlo,SC,9.235
Monte Castelo,SC,7.787
Morro da Fumaça,SC,19.265
Morro Grande,SC,3.085
Navegantes,SC,93.619
Nova Erechim,SC,5.408
Nova Itaberaba,SC,4.648
Nova Trento,SC,14.252
Nova Veneza,SC,13.968
Novo Horizonte,SC,2.670
Orleans,SC,24.474
Otacílio Costa,SC,17.780
Ouro,SC,7.091
Ouro Verde,SC,2.203
Paial,SC,1.992
Painel,SC,2.228
Palhoça,SC,245.477
Palma Sola,SC,7.709
Palmeira,SC,2.640
Palmitos,SC,15.812
Papanduva,SC,19.667
Paraíso,SC,4.376
Passo de Torres,SC,14.284
Passos Maia,SC,4.032
Paulo Lopes,SC,9.661
Pedras Grandes,SC,4.343
Penha,SC,36.124
Peritiba,SC,3.039
Pescaria Brava,SC,10.531
Petrolândia,SC,6.942
Balneário Piçarras,SC,29.725
Pinhalzinho,SC,23.379
Pinheiro Preto,SC,3.598
Piratuba,SC,6.053
Planalto Alegre,SC,3.053
Pomerode,SC,36.392
Ponte Alta,SC,4.430
Ponte Alta do Norte,SC,3.249
Ponte Serrada,SC,10.764
Porto Belo,SC,30.590
Porto União,SC,33.727
Pouso Redondo,SC,17.836
Praia Grande,SC,8.602
Presidente Castello Branco,SC,1.711
Presidente Getúlio,SC,21.293
Presidente Nereu,SC,2.345
Princesa,SC,3.054
Quilombo,SC,11.359
Rancho Queimado,SC,3.435
Rio das Antas,SC,6.386
Rio do Campo,SC,6.613
Rio do Oeste,SC,8.008
Rio dos Cedros,SC,11.163
Rio do Sul,SC,76.390
Rio Fortuna,SC,5.006
Rio Negrinho,SC,40.168
Rio Rufino,SC,2.432
Riqueza,SC,4.835
Rodeio,SC,13.321
Romelândia,SC,4.757
Salete,SC,7.643
Saltinho,SC,3.633
Salto Veloso,SC,4.486
Sangão,SC,13.567
Santa Cecília,SC,15.764
Santa Helena,SC,2.473
Santa Rosa de Lima,SC,2.128
Santa Rosa do Sul,SC,10.288
Santa Terezinha,SC,8.077
Santa Terezinha do Progresso,SC,2.562
Santiago do Sul,SC,1.714
Santo Amaro da Imperatriz,SC,29.392
São Bernardino,SC,2.719
São Bento do Sul,SC,86.851
São Bonifácio,SC,2.986
São Carlos,SC,10.460
São Cristóvão do Sul,SC,6.389
São Domingos,SC,9.356
São Francisco do Sul,SC,55.784
São João do Oeste,SC,6.446
São João Batista,SC,34.733
São João do Itaperiú,SC,4.732
São João do Sul,SC,9.126
São Joaquim,SC,26.852
São José,SC,289.949
São José do Cedro,SC,14.491
São José do Cerrito,SC,8.755
São Lourenço do Oeste,SC,25.770
São Ludgero,SC,14.211
São Martinho,SC,3.501
São Miguel da Boa Vista,SC,1.788
São Miguel do Oeste,SC,46.969
São Pedro de Alcântara,SC,6.076
Saudades,SC,10.680
Schroeder,SC,21.273
Seara,SC,19.241
Serra Alta,SC,3.367
Siderópolis,SC,14.087
Sombrio,SC,31.397
Sul Brasil,SC,2.894
Taió,SC,18.808
Tangará,SC,8.189
Tigrinhos,SC,2.480
Tijucas,SC,56.674
Timbé do Sul,SC,5.495
Timbó,SC,48.903
Timbó Grande,SC,7.503
Três Barras,SC,20.373
Treviso,SC,3.895
Treze de Maio,SC,7.585
Treze Tílias,SC,9.308
Trombudo Central,SC,7.532
Tubarão,SC,115.495
Tunápolis,SC,5.054
Turvo,SC,13.492
União do Oeste,SC,2.801
Urubici,SC,11.048
Urupema,SC,2.735
Urussanga,SC,21.395
Vargeão,SC,3.716
Vargem,SC,2.632
Vargem Bonita,SC,4.615
Vidal Ramos,SC,6.275
Videira,SC,58.299
Vitor Meireles,SC,5.492
Witmarsum,SC,4.451
Xanxerê,SC,54.194
Xavantina,SC,3.627
Xaxim,SC,33.902
Zortéa,SC,4.170
Balneário Rincão,SC,17.226
Aceguá,RS,4.253
Água Santa,RS,4.000
Agudo,RS,16.346
Ajuricaba,RS,6.848
Alecrim,RS,6.228
Alegrete,RS,74.329
Alegria,RS,3.711
Almirante Tamandaré do Sul,RS,2.008
Alpestre,RS,7.243
Alto Alegre,RS,1.837
Alto Feliz,RS,3.143
Alvorada,RS,194.116
Amaral Ferrador,RS,5.394
Ametista do Sul,RS,7.822
André da Rocha,RS,1.157
Anta Gorda,RS,6.080
Antônio Prado,RS,13.328
Arambaré,RS,4.211
Araricá,RS,8.794
Aratiba,RS,6.618
Arroio do Meio,RS,22.490
Arroio do Sal,RS,11.384
Arroio do Padre,RS,2.651
Arroio dos Ratos,RS,14.923
Arroio do Tigre,RS,12.296
Arroio Grande,RS,17.887
Arvorezinha,RS,10.545
Augusto Pestana,RS,7.302
Áurea,RS,3.460
Bagé,RS,121.900
Balneário Pinhal,RS,15.371
Barão,RS,6.489
Barão de Cotegipe,RS,7.313
Barão do Triunfo,RS,5.983
Barracão,RS,4.920
Barra do Guarita,RS,3.230
Barra do Quaraí,RS,4.337
Barra do Ribeiro,RS,12.475
Barra do Rio Azul,RS,1.724
Barra Funda,RS,2.555
Barros Cassal,RS,9.442
Benjamin Constant do Sul,RS,2.120
Bento Gonçalves,RS,127.775
Boa Vista das Missões,RS,1.969
Boa Vista do Buricá,RS,7.125
Boa Vista do Cadeado,RS,2.271
Boa Vista do Incra,RS,2.315
Boa Vista do Sul,RS,2.815
Bom Jesus,RS,11.431
Bom Princípio,RS,13.650
Bom Progresso,RS,2.134
Bom Retiro do Sul,RS,12.578
Boqueirão do Leão,RS,6.215
Bossoroca,RS,5.988
Bozano,RS,2.195
Braga,RS,3.326
Brochier,RS,5.079
Butiá,RS,19.433
Caçapava do Sul,RS,33.508
Cacequi,RS,11.324
Cachoeira do Sul,RS,82.250
Cachoeirinha,RS,141.303
Cacique Doble,RS,4.694
Caibaté,RS,4.797
Caiçara,RS,4.933
Camaquã,RS,63.959
Camargo,RS,3.056
Cambará do Sul,RS,6.492
Campestre da Serra,RS,3.311
Campina das Missões,RS,6.001
Campinas do Sul,RS,5.390
Campo Bom,RS,64.704
Campo Novo,RS,5.068
Campos Borges,RS,3.693
Candelária,RS,29.783
Cândido Godói,RS,6.421
Candiota,RS,10.992
Canela,RS,50.613
Canguçu,RS,50.998
Canoas,RS,359.554
Canudos do Vale,RS,1.687
Capão Bonito do Sul,RS,1.769
Capão da Canoa,RS,66.012
Capão do Cipó,RS,3.186
Capão do Leão,RS,27.389
Capivari do Sul,RS,4.079
Capela de Santana,RS,11.416
Capitão,RS,2.991
Carazinho,RS,63.638
Caraá,RS,7.553
Carlos Barbosa,RS,31.528
Carlos Gomes,RS,1.387
Casca,RS,9.689
Caseiros,RS,3.064
Catuípe,RS,8.840
Caxias do Sul,RS,479.256
Centenário,RS,2.779
Cerrito,RS,5.915
Cerro Branco,RS,3.865
Cerro Grande,RS,2.429
Cerro Grande do Sul,RS,9.343
Cerro Largo,RS,14.009
Chapada,RS,9.748
Charqueadas,RS,36.109
Charrua,RS,2.807
Chiapetta,RS,3.992
Chuí,RS,6.405
Chuvisca,RS,4.686
Cidreira,RS,17.538
Ciríaco,RS,4.215
Colinas,RS,2.474
Colorado,RS,3.319
Condor,RS,6.539
Constantina,RS,10.623
Coqueiro Baixo,RS,1.311
Coqueiros do Sul,RS,2.251
Coronel Barros,RS,2.892
Coronel Bicaco,RS,6.230
Coronel Pilar,RS,1.638
Cotiporã,RS,3.926
Coxilha,RS,2.719
Crissiumal,RS,13.127
Cristal,RS,7.454
Cristal do Sul,RS,2.746
Cruz Alta,RS,60.486
Cruzaltense,RS,1.655
Cruzeiro do Sul,RS,12.571
David Canabarro,RS,4.403
Derrubadas,RS,2.797
Dezesseis de Novembro,RS,2.544
Dilermando de Aguiar,RS,2.859
Dois Irmãos,RS,31.769
Dois Irmãos das Missões,RS,2.133
Dois Lajeados,RS,3.158
Dom Feliciano,RS,13.291
Dom Pedro de Alcântara,RS,2.617
Dom Pedrito,RS,38.094
Dona Francisca,RS,3.136
Doutor Maurício Cardoso,RS,4.542
Doutor Ricardo,RS,1.925
Eldorado do Sul,RS,40.954
Encantado,RS,23.494
Encruzilhada do Sul,RS,24.280
Engenho Velho,RS,1.317
Entre-Ijuís,RS,9.364
Entre Rios do Sul,RS,2.731
Erebango,RS,3.121
Erechim,RS,109.497
Ernestina,RS,3.097
Herval,RS,6.307
Erval Grande,RS,5.029
Erval Seco,RS,6.902
Esmeralda,RS,3.264
Esperança do Sul,RS,3.294
Espumoso,RS,15.478
Estação,RS,5.688
Estância Velha,RS,49.440
Esteio,RS,78.181
Estrela,RS,33.243
Estrela Velha,RS,3.120
Eugênio de Castro,RS,2.685
Fagundes Varela,RS,2.620
Farroupilha,RS,72.477
Faxinal do Soturno,RS,6.846
Faxinalzinho,RS,2.572
Fazenda Vilanova,RS,4.399
Feliz,RS,13.979
Flores da Cunha,RS,31.973
Floriano Peixoto,RS,1.694
Fontoura Xavier,RS,9.721
Formigueiro,RS,6.533
Forquetinha,RS,2.441
Fortaleza dos Valos,RS,4.569
Frederico Westphalen,RS,33.684
Garibaldi,RS,35.522
Garruchos,RS,2.729
Gaurama,RS,5.780
General Câmara,RS,7.751
Gentil,RS,1.783
Getúlio Vargas,RS,16.950
Giruá,RS,16.282
Glorinha,RS,7.842
Gramado,RS,41.621
Gramado dos Loureiros,RS,2.049
Gramado Xavier,RS,3.356
Gravataí,RS,275.294
Guabiju,RS,1.442
Guaíba,RS,95.956
Guaporé,RS,26.138
Guarani das Missões,RS,7.553
Harmonia,RS,5.524
Herveiras,RS,2.608
Horizontina,RS,19.246
Hulha Negra,RS,6.102
Humaitá,RS,4.774
Ibarama,RS,3.793
Ibiaçá,RS,4.618
Ibiraiaras,RS,6.830
Ibirapuitã,RS,3.793
Ibirubá,RS,22.082
Igrejinha,RS,34.763
Ijuí,RS,87.775
Ilópolis,RS,4.245
Imbé,RS,27.931
Imigrante,RS,3.148
Independência,RS,6.558
Inhacorá,RS,2.049
Ipê,RS,5.496
Ipiranga do Sul,RS,1.750
Iraí,RS,7.624
Itaara,RS,5.706
Itacurubi,RS,3.042
Itapuca,RS,1.967
Itaqui,RS,36.830
Itati,RS,2.695
Itatiba do Sul,RS,3.249
Ivorá,RS,1.964
Ivoti,RS,23.533
Jaboticaba,RS,3.850
Jacuizinho,RS,2.070
Jacutinga,RS,3.401
Jaguarão,RS,27.406
Jaguari,RS,10.779
Jaquirana,RS,3.755
Jari,RS,3.414
Jóia,RS,7.305
Júlio de Castilhos,RS,18.557
Lagoa Bonita do Sul,RS,2.287
Lagoão,RS,5.429
Lagoa dos Três Cantos,RS,1.779
Lagoa Vermelha,RS,28.617
Lajeado,RS,96.651
Lajeado do Bugre,RS,2.660
Lavras do Sul,RS,7.294
Liberato Salzano,RS,4.854
Lindolfo Collor,RS,6.409
